survived,pclass,class,sex,age,sibsp,parch,fare,embarked
0,1,First,male,44.3,0,0,10.9133,S
0,3,Third,male,20.9,0,0,10.226,C
0,3,Third,male,21.6,0,2,12.5992,S
0,3,Third,female,48.9,0,0,1.72,S
1,1,First,female,75.9,0,1,198.1863,S
0,3,Third,female,8.1,3,0,21.304,S
1,3,Third,female,7.4,1,0,26.1904,S
0,2,Second,male,16.6,3,0,39.0404,S
1,1,First,male,36.6,0,0,136.493,C
1,2,Second,male,42.5,0,0,15.1127,S
1,2,Second,female,38.3,0,1,7.5157,S
1,2,Second,male,32.4,2,1,35.9077,S
0,2,Second,male,37.4,0,0,21.8394,S
0,2,Second,male,20.3,0,0,53.4223,S
1,3,Third,female,21.6,0,1,9.349,C
1,1,First,female,37.7,1,1,237.8859,S
0,2,Second,female,7.8,1,0,18.9617,S
0,3,Third,male,8.7,1,0,26.3605,Q
0,1,First,female,22.3,0,2,216.342,S
1,1,First,female,48.7,1,0,4.2099,S
0,1,First,female,41.4,0,0,46.1701,S
1,1,First,female,46.6,0,0,3.4276,S
0,3,Third,female,1.0,0,0,0.7006,C
1,1,First,female,17.2,0,1,136.0312,C
1,2,Second,male,39.3,0,0,18.4438,S
0,3,Third,male,1.0,3,0,13.5237,S
0,3,Third,male,42.1,0,2,18.5624,S
1,1,First,female,12.5,0,3,60.8762,S
0,2,Second,male,41.8,0,2,37.728,S
0,3,Third,male,12.6,0,1,9.5091,S
0,3,Third,male,39.7,0,0,18.324,S
1,3,Third,female,69.9,0,2,19.2071,C
1,1,First,female,6.2,0,2,190.9221,C
1,1,First,female,47.7,0,0,75.8211,S
0,2,Second,male,4.7,1,0,6.6073,S
1,3,Third,female,31.0,0,0,13.5713,S
0,3,Third,female,22.1,0,0,15.0071,S
0,1,First,male,39.8,0,0,3.3277,S
0,3,Third,male,12.2,0,0,14.4749,S
1,1,First,female,48.9,0,0,55.8406,Q
0,3,Third,male,4.7,2,0,0.4275,S
0,3,Third,male,42.4,0,0,19.7148,S
0,3,Third,female,19.3,1,2,7.3627,S
1,1,First,female,18.4,0,0,52.3024,S
0,3,Third,male,47.3,1,0,8.3742,S
1,2,Second,female,29.1,0,0,37.0612,S
0,3,Third,male,51.7,0,1,12.5908,C
0,2,Second,female,47.1,0,1,22.0283,C
0,3,Third,male,13.8,0,0,8.5936,Q
0,2,Second,female,28.8,2,0,27.0173,S
0,1,First,female,,1,0,189.2468,S
1,2,Second,male,51.4,0,0,29.4222,S
0,1,First,male,44.1,0,0,137.5756,S
1,2,Second,female,32.5,0,0,28.881,S
0,3,Third,male,22.2,0,0,0.8024,C
1,1,First,male,37.3,1,0,15.6627,S
0,1,First,male,56.3,0,0,68.011,S
1,1,First,female,38.1,1,0,27.3826,S
1,1,First,male,32.5,0,0,0.9661,S
0,3,Third,male,17.1,4,0,5.7218,S
1,3,Third,female,17.2,0,0,0.4653,S
0,1,First,male,18.4,0,0,63.991,S
0,3,Third,male,14.5,1,2,12.3057,S
0,3,Third,male,46.0,0,0,5.0695,Q
0,3,Third,male,22.1,0,0,13.7893,S
0,2,Second,male,39.9,0,0,15.3602,S
1,2,Second,female,1.0,0,0,35.1775,S
0,3,Third,male,33.0,2,2,11.3837,C
1,3,Third,female,22.7,1,1,19.9633,S
0,3,Third,male,18.3,0,0,15.0321,S
0,3,Third,male,27.5,4,1,1.0207,S
0,2,Second,male,23.1,0,0,19.8214,S
0,3,Third,male,1.0,1,1,0.6438,S
1,3,Third,female,37.9,0,1,11.9188,S
0,2,Second,male,33.4,0,0,11.3133,S
0,3,Third,male,20.6,0,0,16.8196,C
0,2,Second,male,16.5,0,0,3.5494,S
1,3,Third,female,4.4,1,0,13.147,S
0,3,Third,male,28.1,0,1,18.7242,S
1,3,Third,female,47.6,0,0,22.076,S
0,3,Third,male,27.8,1,0,5.3583,S
1,2,Second,male,10.6,0,3,21.2308,S
1,2,Second,female,33.2,0,0,23.3939,S
0,2,Second,male,29.3,1,0,41.1126,Q
0,1,First,male,50.1,1,0,31.5437,S
1,2,Second,female,38.5,0,1,9.1557,Q
1,1,First,male,1.0,4,0,302.7481,Q
0,2,Second,male,37.6,1,0,17.4497,S
0,1,First,male,24.0,0,0,63.4975,S
1,2,Second,male,10.1,0,2,13.4268,S
0,3,Third,female,22.4,1,0,14.6887,Q
0,2,Second,male,35.8,1,0,24.132,S
1,3,Third,female,2.0,0,3,21.0978,S
0,3,Third,male,34.9,5,0,3.8834,S
0,3,Third,female,35.7,2,0,8.2928,C
1,1,First,female,38.7,0,0,156.045,S
1,2,Second,female,17.9,1,0,1.7528,S
0,3,Third,male,11.3,0,0,0.2157,S
0,3,Third,male,39.4,1,0,10.7188,S
0,1,First,male,16.8,1,0,25.3179,C
0,2,Second,female,44.9,0,0,17.1797,C
0,3,Third,male,22.7,0,0,0.3625,S
1,2,Second,female,28.7,0,0,23.7861,S
0,3,Third,male,1.1,2,0,11.5077,C
1,1,First,female,35.9,0,1,126.8369,S
0,2,Second,male,38.6,1,1,23.6052,S
1,3,Third,female,6.3,0,0,15.0669,S
0,2,Second,male,37.0,0,2,2.198,S
0,3,Third,male,26.2,2,1,17.9259,Q
1,2,Second,female,21.0,0,0,16.6987,S
1,2,Second,female,42.0,0,2,18.8342,S
0,3,Third,female,1.0,0,2,23.4826,S
0,2,Second,female,34.9,0,0,11.6473,S
0,1,First,male,60.7,0,0,189.3924,C
1,3,Third,female,45.2,0,0,27.4448,S
0,3,Third,male,30.5,0,0,20.5278,S
1,3,Third,male,20.8,0,0,3.1938,S
0,1,First,male,29.1,0,0,86.5309,S
1,1,First,male,33.8,0,0,168.1491,S
0,3,Third,male,32.6,0,0,14.1139,S
1,1,First,female,26.7,5,1,25.8746,C
1,1,First,male,,0,0,175.5379,C
1,3,Third,female,54.9,0,0,4.3844,S
